"Data","Categoria","Produto","Quantidade","Preco_Unitario","Total_Venda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/28/2023","Limpeza","Amaciante","4","39.86","159.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/8/2023","Mercearia","Óleo","4","20.46","81.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/27/2023","Mercearia","Feijão","8","30.83","246.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/25/2023","Bebidas","Cerveja","2","19.37","38.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/28/2023","Higiene","Creme Dental","8","13.47","107.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/22/2023","Bebidas","Cerveja","1","31.88","31.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/21/2023","Limpeza","Desinfetante","5","11.94","59.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/19/2023","Bebidas","Cerveja","8","3.76","30.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/11/2023","Higiene","Creme Dental","5","23.05","115.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/22/2023","Higiene","Creme Dental","6","46.72","280.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/4/2023","Perecíveis","Leite","9","41.27","371.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/8/2023","Limpeza","Sabão em Pó","7","29.59","207.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/7/2023","Perecíveis","Queijo","5","23.63","118.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/28/2023","Perecíveis","Leite","8","22.25","178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/13/2023","Perecíveis","Manteiga","1","41.54","41.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/13/2023","Mercearia","Feijão","5","2.08","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/20/2023","Perecíveis","Leite","4","34.96","139.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/27/2023","Bebidas","Vinho","6","6.43","38.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/31/2023","Mercearia","Arroz","1","21.4","21.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/3/2023","Bebidas","Refrigerante","9","33.03","297.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/20/2023","Limpeza","Detergente","2","8.67","17.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/4/2023","Bebidas","Vinho","4","36.75","147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/16/2023","Higiene","Shampoo","10","41.79","417.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/23/2023","Higiene","Shampoo","9","22.26","200.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/18/2023","Bebidas","Água","8","7.9","63.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/17/2023","Bebidas","Cerveja","6","42.59","255.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/14/2023","Higiene","Papel Higiênico","3","5.73","17.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/14/2023","Perecíveis","Ovos","2","20.44","40.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/26/2023","Mercearia","Óleo","9","22.69","204.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/16/2023","Limpeza","Desinfetante","9","3.32","29.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/25/2023","Higiene","Papel Higiênico","6","33","198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/6/2023","Bebidas","Vinho","6","3.22","19.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/25/2023","Bebidas","Cerveja","10","42.66","426.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/21/2023","Mercearia","Arroz","4","10.03","40.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/29/2023","Limpeza","Sabão em Pó","4","6.77","27.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/11/2023","Limpeza","Amaciante","4","3.12","12.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/6/2023","Perecíveis","Ovos","5","42.1","210.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/14/2023","Higiene","Papel Higiênico","9","24.75","222.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/18/2023","Higiene","Papel Higiênico","12","49.23","590.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/14/2023","Mercearia","Arroz","6","27.99","167.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/5/2023","Bebidas","Cerveja","5","10.08","50.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2023","Limpeza","Sabão em Pó","2","14.45","28.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/21/2023","Higiene","Shampoo","9","18.44","165.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/2/2023","Limpeza","Sabão em Pó","7","18.67","130.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/30/2023","Perecíveis","Queijo","5","25.47","127.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/1/2023","Mercearia","Feijão","8","17.64","141.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/8/2023","Higiene","Creme Dental","9","37.08","333.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/27/2023","Perecíveis","Leite","8","28.07","224.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/22/2023","Limpeza","Detergente","2","36.66","73.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/5/2023","Mercearia","Açúcar","6","39.94","239.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/12/2023","Bebidas","Vinho","9","44.1","396.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/18/2023","Bebidas","Suco","3","26.62","79.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/7/2023","Mercearia","Óleo","6","30.26","181.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/22/2023","Mercearia","Macarrão","5","29.01","145.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/7/2023","Bebidas","Suco","2","36.83","73.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/27/2023","Higiene","Papel Higiênico","7","30.9","216.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/3/2023","Perecíveis","Queijo","10","4.85","48.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/21/2023","Bebidas","Cerveja","11","5","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/22/2023","Limpeza","Detergente","8","2.92","23.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/16/2023","Limpeza","Sabão em Pó","6","27.31","163.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/4/2023","Perecíveis","Iogurte","6","18","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/9/2023","Bebidas","Suco","3","11.63","34.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/6/2023","Bebidas","Suco","1","18.41","18.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/7/2023","Bebidas","Água","8","46.98","375.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/10/2023","Bebidas","Cerveja","4","35.6","142.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/24/2023","Bebidas","Refrigerante","7","21.54","150.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/22/2023","Limpeza","Desinfetante","3","32.34","97.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/16/2023","Higiene","Shampoo","3","27.08","81.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/22/2023","Higiene","Papel Higiênico","1","26.03","26.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Mercearia","Óleo","2","5.5","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/3/2023","Mercearia","Feijão","7","21.26","148.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/17/2023","Limpeza","Amaciante","7","24.87","174.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/22/2023","Bebidas","Cerveja","5","3.62","18.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/3/2023","Limpeza","Detergente","12","7.9","94.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/21/2023","Higiene","Sabonete","4","31.99","127.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/22/2023","Mercearia","Feijão","2","36.27","72.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/12/2023","Mercearia","Açúcar","7","36.59","256.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/16/2023","Higiene","Sabonete","8","32.22","257.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/29/2023","Bebidas","Vinho","1","17.24","17.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/21/2023","Higiene","Shampoo","3","15.26","45.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/16/2023","Higiene","Papel Higiênico","9","18.34","165.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/27/2023","Perecíveis","Iogurte","10","19.29","192.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/3/2023","Limpeza","Amaciante","4","39.87","159.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/25/2023","Perecíveis","Queijo","5","20.11","100.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6/2023","Limpeza","Detergente","2","34.98","69.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/24/2023","Bebidas","Vinho","12","35.79","429.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/30/2023","Perecíveis","Manteiga","8","48.37","386.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/21/2023","Bebidas","Vinho","13","16.31","212.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/11/2023","Limpeza","Sabão em Pó","5","4.31","21.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/26/2023","Mercearia","Arroz","3","23.97","71.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Limpeza","Desinfetante","9","4.51","40.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/16/2023","Higiene","Shampoo","4","42.82","171.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/10/2023","Bebidas","Cerveja","6","24.67","148.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/21/2023","Perecíveis","Manteiga","2","20.95","41.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/29/2023","Mercearia","Feijão","3","17.15","51.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/23/2023","Mercearia","Arroz","4","6.1","24.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/23/2023","Limpeza","Detergente","9","41.52","373.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Higiene","Shampoo","5","35.03","175.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/18/2023","Perecíveis","Ovos","6","36.05","216.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2023","Limpeza","Detergente","3","21.41","64.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/16/2023","Mercearia","Óleo","8","36.79","294.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/29/2023","Higiene","Papel Higiênico","10","38.59","385.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/6/2023","Bebidas","Vinho","6","2.81","16.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/12/2023","Bebidas","Refrigerante","6","14.75","88.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/1/2023","Bebidas","Cerveja","7","26.86","188.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/15/2023","Bebidas","Vinho","5","33.03","165.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/21/2023","Mercearia","Macarrão","9","28.25","254.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/2/2023","Bebidas","Cerveja","8","23.98","191.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6/2023","Limpeza","Desinfetante","8","5.15","41.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/4/2023","Higiene","Sabonete","7","34.24","239.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/8/2023","Higiene","Papel Higiênico","9","13.48","121.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2023","Mercearia","Feijão","6","19.55","117.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/26/2023","Higiene","Papel Higiênico","7","8.76","61.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/30/2023","Bebidas","Refrigerante","3","9.05","27.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/21/2023","Mercearia","Óleo","1","18.57","18.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/9/2023","Mercearia","Arroz","9","35.12","316.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/27/2023","Bebidas","Refrigerante","5","25.87","129.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/14/2023","Limpeza","Desinfetante","6","21.95","131.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/21/2023","Perecíveis","Ovos","7","48.19","337.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/3/2023","Higiene","Sabonete","3","9.96","29.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/27/2023","Mercearia","Açúcar","1","8.58","8.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/9/2023","Perecíveis","Ovos","6","7.23","43.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/31/2023","Limpeza","Desinfetante","8","36.16","289.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/19/2023","Bebidas","Vinho","5","22.98","114.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/12/2023","Higiene","Sabonete","6","11.13","66.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/26/2023","Limpeza","Detergente","2","35.52","71.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/21/2023","Perecíveis","Ovos","4","38.35","153.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/25/2023","Mercearia","Arroz","11","39.5","434.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/15/2023","Higiene","Sabonete","6","30.95","185.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2023","Mercearia","Açúcar","9","12.66","113.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/5/2023","Higiene","Creme Dental","8","40.8","326.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/30/2023","Perecíveis","Queijo","10","21.33","213.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/5/2023","Perecíveis","Ovos","4","15.87","63.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/30/2023","Limpeza","Amaciante","3","25.74","77.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/27/2023","Perecíveis","Leite","3","20.84","62.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/12/2023","Limpeza","Sabão em Pó","1","23.33","23.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/30/2023","Bebidas","Refrigerante","4","20.54","82.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2023","Limpeza","Amaciante","4","42.67","170.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/23/2023","Higiene","Sabonete","7","6.89","48.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/12/2023","Limpeza","Detergente","9","12.98","116.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/9/2023","Bebidas","Refrigerante","8","15.56","124.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/9/2023","Mercearia","Açúcar","12","29.84","358.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/18/2023","Higiene","Creme Dental","3","8.9","26.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/12/2023","Higiene","Papel Higiênico","5","22.13","110.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/9/2023","Higiene","Papel Higiênico","2","11.82","23.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/20/2023","Bebidas","Suco","7","3.57","24.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/14/2023","Higiene","Creme Dental","3","26.33","78.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/24/2023","Limpeza","Desinfetante","4","35.29","141.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/30/2023","Higiene","Papel Higiênico","3","26.75","80.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/30/2023","Mercearia","Açúcar","5","20.81","104.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/22/2023","Bebidas","Cerveja","9","4.94","44.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/26/2023","Perecíveis","Leite","9","12.85","115.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/28/2023","Mercearia","Macarrão","3","4.49","13.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/9/2023","Limpeza","Sabão em Pó","6","37.61","225.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/25/2023","Higiene","Sabonete","5","36.21","181.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/16/2023","Bebidas","Suco","6","21.48","128.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2023","Perecíveis","Manteiga","8","33.73","269.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/9/2023","Higiene","Sabonete","2","39.47","78.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/20/2023","Bebidas","Suco","6","14.74","88.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/29/2023","Mercearia","Arroz","5","28.88","144.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/29/2023","Bebidas","Cerveja","3","19.73","59.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/1/2023","Higiene","Papel Higiênico","10","24.16","241.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/8/2023","Higiene","Creme Dental","9","15.16","136.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/19/2023","Bebidas","Água","9","18.58","167.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/4/2023","Mercearia","Óleo","6","43.11","258.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/3/2023","Mercearia","Açúcar","10","28.37","283.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/8/2023","Higiene","Creme Dental","4","39.74","158.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/19/2023","Mercearia","Feijão","3","3.21","9.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/11/2023","Bebidas","Refrigerante","8","13.28","106.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/17/2023","Limpeza","Amaciante","12","27.65","331.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Perecíveis","Leite","5","36.49","182.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/31/2023","Limpeza","Sabão em Pó","9","9.55","85.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/24/2023","Higiene","Papel Higiênico","6","34.29","205.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/29/2023","Limpeza","Amaciante","11","45.49","500.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/22/2023","Mercearia","Arroz","1","2.95","2.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/5/2023","Limpeza","Detergente","1","46.88","46.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2023","Bebidas","Vinho","5","5.28","26.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/16/2023","Bebidas","Refrigerante","12","34.9","418.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/21/2023","Higiene","Sabonete","11","47.33","520.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/29/2023","Limpeza","Desinfetante","10","30.85","308.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6/2023","Higiene","Creme Dental","11","49.06","539.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/27/2023","Perecíveis","Ovos","1","6.95","6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/7/2023","Perecíveis","Iogurte","9","37.42","336.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/23/2023","Bebidas","Vinho","9","14.69","132.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/15/2023","Bebidas","Suco","2","15.8","31.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6/2023","Higiene","Creme Dental","7","5.7","39.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
